CustomerID,recency,frequency,monetary,tenure,frequency_lifetimes,recency_lifetimes,T_lifetimes,monetary_value_lifetimes
12346.0,326,1,77183.6,326,0.0,0.0,326.0,0.0
12347.0,2,6,599.7016666666667,317,5.0,315.0,318.0,624.5640000000001
12348.0,75,4,449.31,358,3.0,283.0,359.0,301.48
12349.0,19,1,1757.55,19,0.0,0.0,19.0,0.0
12350.0,310,1,334.4,310,0.0,0.0,311.0,0.0
12352.0,36,7,313.255,297,6.0,260.0,297.0,368.25666666666666
12353.0,204,1,89.0,204,0.0,0.0,205.0,0.0
12354.0,232,1,1079.4,232,0.0,0.0,233.0,0.0
12355.0,214,1,459.4,214,0.0,0.0,215.0,0.0
12356.0,23,3,937.1433333333333,326,2.0,303.0,326.0,269.90500000000003
12357.0,33,1,6207.67,33,0.0,0.0,34.0,0.0
12358.0,2,2,584.03,151,1.0,149.0,151.0,683.2
12359.0,58,4,1593.145,332,3.0,274.0,332.0,1941.6933333333334
12360.0,52,3,887.3533333333334,201,2.0,148.0,201.0,789.24
12361.0,287,1,189.9,287,0.0,0.0,288.0,0.0
12362.0,3,10,522.6229999999999,296,9.0,292.0,296.0,527.4588888888889
12363.0,110,2,276.0,242,1.0,133.0,243.0,252.9
12364.0,8,4,328.275,112,3.0,105.0,113.0,229.7266666666667
12365.0,291,1,320.69,291,0.0,0.0,292.0,0.0
12367.0,4,1,168.9,4,0.0,0.0,5.0,0.0
12370.0,51,4,886.4224999999999,360,3.0,309.0,361.0,651.6233333333333
12371.0,45,2,943.98,60,1.0,15.0,60.0,360.0
12372.0,72,3,432.68,297,2.0,225.0,297.0,449.41
12373.0,311,1,364.6,311,0.0,0.0,312.0,0.0
12374.0,25,1,742.9300000000001,25,0.0,0.0,26.0,0.0
12375.0,11,2,228.75,98,1.0,88.0,99.0,227.20000000000002
12377.0,315,2,814.06,355,1.0,39.0,355.0,626.6
12378.0,130,1,4008.62,130,0.0,0.0,130.0,0.0
12379.0,82,2,426.12,170,1.0,89.0,171.0,392.4
12380.0,22,4,681.2025000000001,186,3.0,164.0,186.0,705.7533333333332
12381.0,5,5,369.062,120,4.0,115.0,120.0,144.14249999999998
12383.0,185,5,370.11199999999997,352,4.0,168.0,353.0,312.46
12384.0,29,2,292.635,122,1.0,93.0,122.0,292.58000000000004
12386.0,338,1,143.0,338,0.0,0.0,338.0,0.0
12388.0,16,6,463.4433333333333,327,5.0,311.0,327.0,469.872
12390.0,80,1,549.84,80,0.0,0.0,80.0,0.0
12391.0,22,1,460.89,22,0.0,0.0,22.0,0.0
12393.0,72,4,395.65,333,3.0,260.0,333.0,373.3666666666666
12394.0,64,2,636.24,217,1.0,154.0,218.0,891.4
12395.0,19,10,242.9572727272727,357,9.0,338.0,358.0,259.8566666666667
12397.0,36,2,1204.9499999999998,135,1.0,100.0,136.0,1195.09
12398.0,46,1,1635.6599999999999,46,0.0,0.0,46.0,0.0
12399.0,119,4,277.1625,262,3.0,142.0,262.0,273.53333333333336
12401.0,303,1,84.3,303,0.0,0.0,304.0,0.0
12402.0,323,1,225.6,323,0.0,0.0,324.0,0.0
12403.0,50,1,427.7,50,0.0,0.0,50.0,0.0
